Protein_id,Gene_id,Gene_name,Protein,Chromosome,Location
AAK86937.1,Atu1134,no name,conserved hypothetical protein,AE007869.2,1122962-1123909
AAK86938.2,Atu1135,no name,conserved hypothetical protein,AE007869.2,complement(1123914-1124777)
AAK86939.2,Atu1136,no name,reductase,AE007869.2,1124885-1127041
AAK86940.2,Atu1137,no name,"NTP pyrophosphohydrolase, MutT family",AE007869.2,1127100-1127729
AAK86941.1,Atu1138,no name,protease VII precursor,AE007869.2,complement(1127886-1128242)
AAK86942.2,Atu1139,no name,conserved hypothetical protein,AE007869.2,complement(1128351-1128821)
AAK86943.2,Atu1140,purN,phosphoribosyalaminoimidazole-succinocarboxamide synthase,AE007869.2,complement(1128956-1129561)
AAK86944.2,Atu1141,garS,Phosphoribosylglycinamide synthetase,AE007869.2,complement(1129627-1130700)
AAK86945.1,Atu1142,no name,permease,AE007869.2,1130984-1132141
AAK86946.1,Atu1143,no name,conserved hypothetical protein,AE007869.2,1132144-1132872
AAK86947.2,Atu1144,ppk,polyphosphate kinase,AE007869.2,1132974-1135172
AAK86948.1,Atu1145,ppx,exopolyphosphatase,AE007869.2,1135169-1136692
AAK86949.1,Atu1146,no name,acetyl transferase,AE007869.2,complement(1136724-1137356)
AAK86950.2,Atu8089,no name,conserved hypothetical protein,AE007869.2,complement(1137506-1137853)
AAK86951.2,Atu1147,no name,conserved hypothetical protein,AE007869.2,complement(1138023-1138370)
AAK86952.2,Atu1148,no name,conserved hypothetical protein,AE007869.2,complement(1138608-1139966)
AAK86953.1,Atu1149,cya,adenylate cyclase,AE007869.2,complement(1140111-1141139)
AAK86954.1,Atu1150,no name,conserved hypothetical protein,AE007869.2,complement(1141394-1141924)
AAK86955.2,Atu1151,rnd,ribonuclease D,AE007869.2,complement(1142006-1143172)
AAK86956.1,Atu1152,no name,MFS permease,AE007869.2,complement(1143255-1144544)
AAK86957.1,Atu1153,no name,aspartyl-tRNA synthetase,AE007869.2,1144725-1146512
AAK86958.1,Atu1154,no name,conserved hypothetical protein,AE007869.2,1146515-1146991
AAK86959.2,Atu1155,no name,conserved hypothetical protein,AE007869.2,1147304-1148689
AAK86960.2,Atu1156,no name,sulfate permease,AE007869.2,1148898-1150379
AAK86961.1,Atu1157,no name,conserved hypothetical protein,AE007869.2,complement(1150420-1151610)
AAK86962.1,Atu1158,parC,topoisomerase IV subunit A,AE007869.2,1151840-1154092
AAK86963.2,Atu1159,no name,arginine-tRNA-protein transferase,AE007869.2,complement(1154189-1154947)
AAK86964.1,Atu1160,no name,conserved hypothetical protein,AE007869.2,complement(1155125-1155583)
AAK86965.2,Atu1161,hemB,delta-aminolevulinic acid dehydratase,AE007869.2,complement(1155681-1156694)
AAK86966.2,Atu1162,no name,conserved hypothetical protein,AE007869.2,1156778-1157305
AAK86967.1,Atu1163,mucS,exopolysaccharide II synthesis transcriptional activator ExpG,AE007869.2,1157537-1158049
AAK86968.1,Atu1164,no name,conserved hypothetical protein,AE007869.2,1158423-1159754
AAK86969.2,Atu1165,glyA,serine hydroxymethyltransferase,AE007869.2,1160109-1161398
AAK86970.1,Atu1166,no name,conserved hypothetical protein,AE007869.2,1161411-1161890
AAK86971.1,Atu8148,ribD*,bifunctional riboflavin deaminase-reductase,AE007869.2,1161893-1163137
AAK86972.2,Atu1169,ribc,riboflavin synthase alpha chain,AE007869.2,1163137-1163748
AAK86973.1,Atu1170,no name,RhtB family transporter,AE007869.2,1164042-1164674
AAK86974.1,Atu1171,ribH,riboflavin synthase beta chain,AE007869.2,1164851-1165297
AAK86975.2,Atu1172,nusB,Putative transcription antitermination protein NusB,AE007869.2,1165302-1165799
AAK86976.1,Atu1173,no name,MFS permease,AE007869.2,1165821-1167044
AAK86977.2,Atu1174,rrpP,H+ translocating pyrophosphate synthase,AE007869.2,1167264-1169402
AAK86978.2,Atu1175,no name,conserved hypothetical protein,AE007869.2,complement(1169477-1170010)
AAK86980.2,Atu1176,no name,conserved hypothetical protein,AE007869.2,1170283-1170819
AAK86981.2,Atu1177,no name,conserved hypothetical protein,AE007869.2,1170831-1171394
AAK86982.1,Atu1178,plsX,fatty acid/phospholipid synthesis protein,AE007869.2,1171495-1172556
AAK86983.1,Atu1179,fabH,3-oxoacyl-(acyl-carrier-protein) synthase III,AE007869.2,1172561-1173532
AAK86984.2,Atu1180,ihfA,integration host factor alpha subunit,AE007869.2,1173774-1174112
AAK86985.2,Atu1181,no name,conserved hypothetical protein,AE007869.2,1174387-1174920
AAK86986.1,Atu1182,no name,conserved hypothetical protein,AE007869.2,1175006-1175734
AAK86987.1,Atu1183,no name,DNA-directed RNA polymerase,AE007869.2,1176283-1178874
AAK86988.2,Atu1184,no name,hypothetical protein,AE007869.2,1178871-1179104
AAL42197.1,Atu1185,no name,hypothetical protein,AE007869.2,complement(1179381-1179599)
AAK86989.1,Atu1186,no name,hypothetical protein,AE007869.2,1179671-1179940
AAK86990.2,Atu1187,no name,phage tail fiber protein,AE007869.2,1180014-1181390
AAL42200.1,Atu1188,no name,hypothetical protein,AE007869.2,1181501-1181833
AAK86992.2,Atu1189,no name,hypothetical protein,AE007869.2,1181842-1182105
AAK86993.1,Atu1190,no name,conserved hypothetical protein,AE007869.2,1182710-1183300
AAK86994.1,Atu1191,no name,hypothetical protein,AE007869.2,1183411-1183728
AAK86996.2,Atu1192,no name,"transcriptional regulator, MarR family",AE007869.2,1184274-1184741
AAL42205.1,Atu1194,int,phage-related integrase,AE007869.2,1184885-1186051
AAK86997.1,Atu1195,no name,heavy-metal transporting P-type ATPase,AE007869.2,1186479-1188989
AAK86998.2,Atu1196,no name,"naphthalene 1,2-dioxygenase",AE007869.2,1189005-1190012
AAK86999.1,Atu1197,cueR,"transcriptional regulator, MerR family",AE007869.2,1190024-1190512
AAK87000.1,Atu1198,nikB,"ABC transporter, membrane spanning protein",AE007869.2,1190587-1191531
AAK87001.1,Atu1199,dppC,"ABC transporter, membrane spanning protein",AE007869.2,1191521-1192426
AAK87002.1,Atu1200,dppD,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,1192564-1193631
AAK87003.1,Atu1201,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,1193640-1194653
AAK87004.2,Atu1202,no name,"ABC transporter, substrate binding protein",AE007869.2,1194886-1196379
AAK87005.1,Atu1203,no name,hypothetical protein,AE007869.2,complement(1196713-1196967)
AAK87006.2,Atu1204,trkH,potassium uptake protein,AE007869.2,complement(1197074-1198411)
AAK87007.2,Atu1205,ilvA,threonine dehydratase,AE007869.2,1198612-1199886
AAK87008.2,Atu1206,no name,conserved hypothetical protein,AE007869.2,1199961-1200272
AAK87009.2,Atu1207,no name,GGDEF family protein,AE007869.2,1200490-1201755
AAK87010.2,Atu1208,acpD,acyl-carrier-protein phosphodiesterase,AE007869.2,complement(1201795-1202412)
AAK87011.1,Atu1209,no name,"transcriptional regulator, LysR family",AE007869.2,1202563-1203531
AAK87012.1,Atu1210,cpdB,"putative 2,3-cyclic nucleotide 2-phosphodiesterase/3-nucleotidase",AE007869.2,complement(1203727-1205715)
AAK87013.2,Atu8149,no name,conserved hypothetical protein,AE007869.2,complement(1205899-1206234)
AAK87014.1,Atu1212,no name,conserved hypothetical protein,AE007869.2,complement(1206334-1206801)
AAK87015.2,Atu1213,no name,hypothetical protein,AE007869.2,1207142-1207849
AAK87016.2,Atu1214,no name,DNA-binding protein,AE007869.2,1207901-1208545
AAK87017.1,Atu1215,no name,thiosulfate sulfurtransferase,AE007869.2,complement(1208765-1210186)
AAK87018.1,Atu1216,alaS,alanyl-tRNA synthetase,AE007869.2,complement(1210203-1210940)
AAK87019.1,Atu1217,cysK,cysteine synthase,AE007869.2,complement(1210953-1211990)
AAK87020.1,Atu1218,no name,DNA photolyase,AE007869.2,complement(1212113-1213552)
AAK87021.1,Atu1219,no name,conserved hypothetical protein,AE007869.2,1213726-1214022
AAK87022.2,Atu1220,no name,methylated-DNA--protein-cysteine methyltransferase,AE007869.2,1214172-1214729
AAK87023.2,Atu1221,no name,hypothetical protein,AE007869.2,1214843-1215286
AAK87024.1,Atu1222,no name,hypothetical protein,AE007869.2,1215424-1216155
AAL42234.1,Atu1223,no name,hypothetical protein,AE007869.2,1216222-1216578
AAL42235.1,Atu1225,no name,conserved hypothetical protein,AE007869.2,1217373-1217645
AAK87026.2,Atu1226,exoD,exoD protein,AE007869.2,complement(1217651-1218295)
AAK87027.2,Atu1227,no name,conserved hypothetical protein,AE007869.2,1218804-1219391
AAK87028.1,Atu8150,no name,hypothetical protein,AE007869.2,1219497-1220084
AAL42239.2,Atu1229,no name,hypothetical protein,AE007869.2,1220225-1220512
AAL42240.2,Atu1230,no name,hypothetical protein,AE007869.2,1220724-1221071
AAK87029.2,Atu1232,no name,conserved hypothetical protein,AE007869.2,1221425-1221961
AAK87030.1,Atu1233,no name,hypothetical protein,AE007869.2,complement(1222035-1222712)
AAK87031.1,Atu8151,no name,hypothetical protein,AE007869.2,complement(1222848-1223042)
AAK87032.1,Atu1235,no name,conserved hypothetical protein,AE007869.2,complement(1223075-1224316)
AAK87033.2,Atu1236,no name,polysaccharide biosynthesis glycosyltransferase,AE007869.2,complement(1224313-1225866)
AAK87034.1,Atu1237,no name,glycosyl transferase,AE007869.2,complement(1226090-1227271)
AAK87035.1,Atu1238,gumB,polysaccharide export protein,AE007869.2,complement(1227249-1227821)
AAK87036.1,Atu1239,exoP,exopolysaccharide production protein,AE007869.2,1228032-1230293
AAK87037.1,Atu1240,no name,conserved hypothetical protein,AE007869.2,complement(1230312-1231541)
AAK87038.2,Atu1241,no name,conserved hypothetical protein,AE007869.2,complement(1231639-1231851)
AAK87039.1,Atu1242,cox15,cytochrome oxidase assembly factor,AE007869.2,1231979-1233097
AAK87040.1,Atu1243,strB,streptomycin resistance protein,AE007869.2,complement(1233104-1233949)
AAK87041.2,Atu1244,argC,N-acetyl-gamma-glutamyl-phosphate reductase,AE007869.2,complement(1233946-1234878)
AAK87042.1,Atu1245,speB,agmatinase,AE007869.2,complement(1234949-1235902)
AAK87043.1,Atu1246,rpsI,30S ribosomal protein S9,AE007869.2,complement(1236034-1236501)
AAK87044.2,Atu1247,rplM,50S ribosomal protein L13,AE007869.2,complement(1236504-1236968)
AAK87045.2,Atu1248,no name,conserved hypothetical protein,AE007869.2,complement(1237221-1238057)
AAL42258.1,Atu1249,no name,hypothetical protein,AE007869.2,complement(1238564-1238836)
AAK87046.1,Atu1250,no name,conserved hypothetical protein,AE007869.2,1238961-1239395
AAK87047.1,Atu1251,cysD,O-acetylhomoserine sulfhydrylase,AE007869.2,1239469-1240752
AAK87048.1,Atu1252,no name,hypothetical protein,AE007869.2,1240976-1241491
AAK87049.1,Atu1253,no name,conserved hypothetical protein,AE007869.2,1241666-1242007
AAL42263.1,Atu1254,no name,"transcriptional regulator, ArsR family",AE007869.2,complement(1242031-1242345)
AAK87050.2,Atu1255,no name,oxidoreductase,AE007869.2,1242448-1243206
AAK87051.1,Atu1256,no name,cytochrome P450 hydroxylase,AE007869.2,complement(1243230-1244477)
AAK87052.2,Atu1257,no name,GGDEF family protein,AE007869.2,complement(1244567-1245814)
AAK87054.1,Atu1258,clpP,"ATP-dependent Clp protease, proteolytic subunit",AE007869.2,1246266-1246898
AAK87055.1,Atu1259,clpX,"ATP-dependent Clp protease, ATP-binding subunit",AE007869.2,1247190-1248467
AAL42269.1,Atu1260,no name,hypothetical protein,AE007869.2,complement(1248552-1248797)
AAK87056.1,Atu1261,lon,ATP-dependent protease LA,AE007869.2,1248881-1251298
AAK87057.1,Atu1262,hupA,histone-like protein,AE007869.2,1251588-1251863
AAK87059.2,Atu1263,no name,conserved hypothetical protein,AE007869.2,1252207-1254405
AAL42273.1,Atu1264,no name,hypothetical protein,AE007869.2,1254476-1254769
AAK87063.1,Atu1268,nuoA,NADH ubiquinone oxidoreductase chain A,AE007869.2,1256220-1256585
AAK87064.1,Atu1269,nuoB,NADH ubiqionone oxidoreductase chain B,AE007869.2,1256555-1257160
AAK87065.1,Atu1270,nuoC,NADH ubiquinone oxidoreductase chain C,AE007869.2,1257182-1257784
AAK87066.1,Atu1271,no name,conserved hypothetical protein,AE007869.2,1257781-1258209
AAK87067.1,Atu1272,nouD,NADH ubiquinone oxidoreductase chain D,AE007869.2,1258211-1259401
AAK87068.1,Atu1273,no name,conserved hypothetical protein,AE007869.2,1259401-1259661
AAK87069.1,Atu1274,nuoE,NADH ubiquinone oxidoreductase chain E,AE007869.2,1259678-1260787
AAK87070.1,Atu1275,nuoF,NADH ubiquinone oxidoreductase chain F,AE007869.2,1260798-1262102
AAK87071.2,Atu1276,nuoG,NADH ubiquinone oxidoreductase chain G,AE007869.2,1262252-1264333
AAK87072.1,Atu1277,nuoH,NADH ubiquinone oxidoreductase I chain H,AE007869.2,1264347-1265393
AAK87073.1,Atu1278,nuoI,NADH ubiquinone oxidoreductase chain I,AE007869.2,1265430-1265921
AAK87074.1,Atu1279,nuoJ,NADH ubiquinone oxidoreductase chain J,AE007869.2,1266059-1266673
AAK87075.1,Atu1280,nuoK,NADH ubiquinone oxidoreductase chain K,AE007869.2,1266703-1267011
AAK87076.1,Atu1281,nuoL,NADH ubiquinone oxidoreductase chain L,AE007869.2,1267019-1269016
AAK87077.1,Atu1282,nuoM,NADH dehydrogenase I chain M,AE007869.2,1269016-1270527
AAK87078.2,Atu1283,nuoN,NADH ubiquinone oxidoreductase chain N,AE007869.2,1270546-1271988
AAK87079.1,Atu1284,birA,birA bifunctional protein,AE007869.2,1271985-1272755
AAK87080.2,Atu1285,no name,metal dependent hydrolase,AE007869.2,1272959-1274626
AAK87081.2,Atu1286,no name,conserved hypothetical protein,AE007869.2,1274803-1275072
AAL42293.1,Atu1287,no name,hypothetical protein,AE007869.2,1275148-1275342
AAK87082.2,Atu1288,proS,prolyl-tRNA synthetase,AE007869.2,1275738-1277060
AAK87083.1,Atu1289,no name,"ABC transporter, membrane spanning protein",AE007869.2,1277188-1278495
AAK87084.2,Atu1290,lolD,"ABC transporter, nucleotide binding/ATPase protein (lipoprotein)",AE007869.2,1278586-1279194
AAL42297.1,Atu1291,no name,hypothetical protein,AE007869.2,complement(1279215-1279607)
AAK87085.1,Atu1292,dnaE,"DNA polymerase III, alpha chain",AE007869.2,1279704-1283207
AAK87086.2,Atu1293,no name,conserved hypothetical protein,AE007869.2,complement(1283219-1284457)
AAK87087.2,Atu1294,dinP,DNA polymerase IV,AE007869.2,complement(1284614-1285831)
AAK87088.1,Atu8152,no name,hypothetical protein,AE007869.2,complement(1285967-1286275)
AAK87089.2,Atu1296,divK,two component response regulator,AE007869.2,1286407-1286778
AAK87090.1,Atu1297,pleD,two component response regulator,AE007869.2,1286797-1288167
AAL42304.2,Atu1298,no name,hypothetical protein,AE007869.2,1288164-1288403
AAL42305.1,Atu1299,rpmG,50S ribosomal protein L33,AE007869.2,complement(1289076-1289243)
AAK87091.1,Atu1300,no name,MFS permease,AE007869.2,complement(1289333-1290508)
AAK87092.1,Atu1301,no name,conserved hypothetical protein,AE007869.2,complement(1290517-1291203)
AAK87093.1,Atu1302,no name,conserved hypothetical protein,AE007869.2,complement(1291206-1291649)
AAK87094.1,Atu1303,rnr,exoribonuclease,AE007869.2,complement(1291692-1294046)
AAK87095.1,Atu1304,topA,DNA topoisomerase I,AE007869.2,complement(1294043-1296721)
AAK87096.1,Atu1305,no name,DNA processing chain A,AE007869.2,complement(1297167-1298309)
AAK87097.2,Atu1306,no name,conserved hypothetical protein,AE007869.2,complement(1298331-1298939)
AAK87098.1,Atu1307,pyrC,dihydroorotase,AE007869.2,complement(1298997-1300289)
AAK87099.2,Atu1308,pyrB,aspartate carbamoyl transferase catalytic subunit,AE007869.2,complement(1300286-1301227)
AAK87100.1,Atu8153,no name,conserved hypothetical protein,AE007869.2,complement(1301458-1301889)
AAK87101.1,Atu1310,acd,acyl-CoA dehydrogenase,AE007869.2,1302247-1303899
AAK87102.2,Atu1311,no name,acetyltransferase,AE007869.2,1304040-1304651
AAK87103.2,Atu1312,no name,hypothetical protein,AE007869.2,1304715-1305011
AAK87104.1,Atu8154,no name,Plasmid stabilization system protein,AE007869.2,1305008-1305382
AAK87105.2,Atu1314,no name,"transcriptional regulator, TetR family",AE007869.2,1305536-1306180
AAK87106.1,Atu8155,no name,conserved hypothetical protein,AE007869.2,1306585-1306902
AAK87107.1,Atu1316,no name,conserved hypothetical protein,AE007869.2,complement(1306854-1307333)
AAK87108.2,Atu1317,no name,metal dependent hydrolase,AE007869.2,1307339-1308439
AAK87109.2,Atu1318,gatC,glutamyl-tRNA-Gln-amidotransferase chain C,AE007869.2,1308566-1308853
AAK87110.2,Atu1319,gatA,glutamyl-tRNA amidotransferase subunit A,AE007869.2,1308910-1310391
AAK87111.2,Atu1320,no name,acetyltransferase,AE007869.2,1310412-1310879
AAL42327.1,Atu1321,no name,conserved hypothetical protein,AE007869.2,complement(1310946-1311203)
AAK87113.2,Atu1322,no name,acetyltransferase,AE007869.2,1311479-1311988
AAK87114.2,Atu1323,no name,conserved hypothetical protein,AE007869.2,complement(1311970-1312383)
AAK87115.2,Atu1324,gatB,glutamyl-tRNA amidotransferase subunit B,AE007869.2,1312454-1313959
AAK87116.1,Atu1325,no name,acetyltransferase,AE007869.2,1314168-1314665
AAK87117.1,Atu1326,no name,acetyltransferase,AE007869.2,1314662-1315135
AAK87118.1,Atu1327,no name,NADH-ubiquinone oxidoreductase,AE007869.2,1315245-1315643
AAK87119.2,Atu1328,no name,conserved hypothetical protein,AE007869.2,1315775-1316212
AAK87120.1,Atu1329,aat,leucyl/phenylalanyl-tRNA-protein transferase,AE007869.2,complement(1316226-1316840)
AAK87121.1,Atu1330,accC,"acetyl-CoA carboxylase, biotin carboxylase",AE007869.2,complement(1316847-1318193)
AAK87122.1,Atu1331,accB,"acetyl-CoA carboxylase, biotin carboxyl carrier protein",AE007869.2,complement(1318206-1318694)
AAK87123.2,Atu1332,aroQ,3-dehydroquinate dehydratase,AE007869.2,complement(1318720-1319157)
AAK87124.2,Atu1333,no name,outer membrane protein,AE007869.2,complement(1319283-1320050)
AAK87125.1,Atu1334,aspB,aspartate transaminase,AE007869.2,1320218-1321381
AAK87126.2,Atu1335,no name,"transcriptional regulator, ArsR family",AE007869.2,complement(1321409-1322092)
AAK87127.1,Atu1336,no name,conserved hypothetical protein,AE007869.2,1322167-1322493
AAK87128.1,Atu1337,no name,conserved hypothetical protein,AE007869.2,1322490-1322855
AAK87129.2,Atu1338,fabG,3-oxoacyl-(acyl carrier protein) reductase,AE007869.2,1322983-1323687
AAK87130.2,Atu1339,rne,ribonuclease E,AE007869.2,complement(1323801-1326734)
AAK87131.1,Atu8016,no name,hypothetical protein,AE007869.2,complement(1326994-1327134)
AAK87132.2,Atu1340,amiA,N-acetylmuramoyl-L-alanine amidase,AE007869.2,1327380-1328639
AAK87133.1,Atu1341,mrcA,penicillin-binding protein 1a,AE007869.2,1328956-1331403
AAK87134.1,Atu1342,prfB,peptide chain release factor 2,AE007869.2,1331605-1332633
AAK87135.2,Atu1343,no name,conserved hypothetical protein,AE007869.2,1332708-1333178
AAK87136.1,Atu1344,no name,hypothetical protein,AE007869.2,complement(1333206-1333706)
AAK87137.1,Atu1345,no name,conserved hypothetical protein,AE007869.2,complement(1333726-1334499)
AAK87138.2,Atu1346,no name,phenazine antibiotic biosynthesis related protein,AE007869.2,1334804-1335721
AAK87139.1,Atu1347,no name,"Tetracycline resistance protein, tetM/tetO subfamily",AE007869.2,1335943-1337892
AAK87140.2,Atu1348,no name,conserved hypothetical protein,AE007869.2,complement(1337985-1344332)
AAK87141.1,Atu1349,no name,hypothetical protein,AE007869.2,1344809-1345177
AAK87142.2,Atu1350,fdx,ferrodoxin,AE007869.2,1345307-1345627
AAK87143.1,Atu1351,no name,conserved hypothetical protein,AE007869.2,complement(1345934-1346560)
AAK87144.2,Atu1352,folP,dihydropteroate synthase,AE007869.2,1346740-1347525
AAK87145.2,Atu1353,folB,dihydroneopterin aldolase,AE007869.2,1347605-1347970
AAK87146.2,Atu1354,folK,"6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase",AE007869.2,1347990-1348490
AAK87147.1,Atu1355,no name,conserved hypothetical protein,AE007869.2,complement(1348505-1349065)
AAK87148.1,Atu1356,no name,conserved hypothetical protein,AE007869.2,complement(1349195-1350274)
AAK87149.2,Atu1357,no name,conserved hypothetical protein,AE007869.2,complement(1350271-1351749)
AAK87150.1,Atu1358,no name,conserved hypothetical protein,AE007869.2,complement(1351878-1352387)
AAK87151.2,Atu1359,dksA,dnaK deletion suppressor protein,AE007869.2,1352657-1353076
AAK87152.2,Atu1360,no name,conserved hypothetical protein,AE007869.2,complement(1353185-1354426)
AAK87153.1,Atu1361,no name,hypothetical protein,AE007869.2,complement(1354491-1354907)
AAK87154.1,Atu1362,no name,two component sensor kinase,AE007869.2,1355121-1357706
AAK87155.1,Atu1363,clpS,ATP-dependent Clp protease adaptor protein ClpS,AE007869.2,1357979-1358332
AAK87156.1,Atu1364,clpA,"ATP-dependent Clp protease, ATP-binding subunit",AE007869.2,1358343-1360853
AAK87157.2,Atu8156,no name,conserved hypothetical protein,AE007869.2,1360932-1361690
AAK87158.2,Atu1366,no name,hypothetical protein,AE007869.2,1361690-1362031
AAK87159.2,Atu1367,no name,"transcriptional regulator, LysR family",AE007869.2,complement(1362044-1362910)
AAK87160.2,Atu1368,no name,conserved hypothetical protein,AE007869.2,1363021-1363872
AAK87161.1,Atu1369,no name,HIT family protein,AE007869.2,complement(1363999-1364427)
AAK87162.1,Atu1370,no name,conserved hypothetical protein,AE007869.2,complement(1364449-1365648)
AAK87163.2,Atu1371,no name,glycerophosphoryl diester phosphodiesterase,AE007869.2,complement(1365645-1366364)
AAK87164.1,Atu1372,no name,conserved hypothetical protein,AE007869.2,complement(1366382-1366852)
AAK87165.2,Atu1373,no name,conserved hypothetical protein,AE007869.2,1366969-1367811
AAK87166.2,Atu1374,rpsB,30S ribosomal protein S2,AE007869.2,1368005-1368772
AAK87167.2,Atu1375,tsf,translation elongation factor Ts,AE007869.2,1369132-1370058
AAK87168.2,Atu1376,pyrH,uridylate kinase,AE007869.2,1370156-1370878
AAK87169.1,Atu1377,rrf,ribosome recycling factor,AE007869.2,1370945-1371502
AAK87170.1,Atu1378,uppS,undecaprenyl pyrophosphate synthase,AE007869.2,1371567-1372310
AAK87171.1,Atu1379,cdsA,phosphatidate cytidylyltransferase,AE007869.2,1372310-1373143
AAK87172.2,Atu1380,no name,zinc metallopeptidase,AE007869.2,1373181-1374314
AAK87173.1,Atu1381,omp1,group 1 outer membrane protein precursor,AE007869.2,1374514-1376838
AAK87174.1,Atu1382,lpxD,UDP glucosamine N-acyltransferase,AE007869.2,1376888-1377955
AAK87175.2,Atu1383,fabZ,(3R)-Hydroxymyristoyl-(acyl carrier protein)- Dehydratase,AE007869.2,1377948-1378412
AAK87176.1,Atu1384,lpxA,acyl-(acyl carrier protein)--UDP-N-acetylglucosamine O-acyltransferase,AE007869.2,1378412-1379227
AAK87177.2,Atu1385,no name,conserved hypothetical protein,AE007869.2,1379309-1380112
AAK87178.1,Atu1386,lpxB,lipid A-disaccharide synthase,AE007869.2,1380109-1381293
AAK87179.1,Atu1387,no name,"transcriptional regulator, GntR family",AE007869.2,1381486-1382196
AAK87180.1,Atu1388,no name,"ABC transporter, substrate binding protein (amino acid)",AE007869.2,1382203-1382988
AAK87181.1,Atu1389,no name,"ABC transporter, membrane spanning protein",AE007869.2,1383069-1383740
AAK87182.1,Atu1390,no name,"ABC transporter, membrane spanning protein",AE007869.2,1383737-1384396
AAK87183.1,Atu1391,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,1384374-1385108
AAK87184.1,Atu1392,cisY,citrate synthase,AE007869.2,complement(1385187-1386476)
AAK87185.2,Atu1393,no name,conserved hypothetical protein,AE007869.2,1386783-1389212
AAK87186.2,Atu1394,no name,glutathione S-transferase,AE007869.2,complement(1389232-1389909)
AAK87187.1,Atu1395,lexA,LexA repressor,AE007869.2,complement(1390170-1390892)
AAK87188.1,Atu1396,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,complement(1391275-1392006)
AAK87189.1,Atu1397,no name,"ABC transporter, membrane spanning protein (amino acid)",AE007869.2,complement(1391987-1392640)
AAK87190.2,Atu1398,no name,"ABC transporter, membrane spanning protein (amino acid)",AE007869.2,complement(1392640-1393344)
AAK87191.2,Atu1399,no name,"ABC transporter, substrate binding protein (amino acid)",AE007869.2,complement(1393413-1394216)
AAK87192.1,Atu1400,serA,phosphoglycerate dehydrogenase,AE007869.2,complement(1394282-1395268)
AAK87193.1,Atu1401,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,complement(1395345-1396496)
AAK87194.1,Atu1402,no name,"ABC transporter, membrane spanning protein",AE007869.2,complement(1396509-1397342)
AAK87195.1,Atu1403,no name,"ABC transporter, membrane spanning protein",AE007869.2,complement(1397339-1398256)
AAK87196.1,Atu1404,no name,"ABC transporter, substrate binding protein (sugar)",AE007869.2,complement(1398321-1399538)
AAK87197.2,Atu1405,no name,"transcriptional regulator, GntR family",AE007869.2,complement(1399662-1400417)
AAK87198.1,Atu1406,no name,isomerase/lactonizing enzyme,AE007869.2,1400578-1401780
AAK87199.1,Atu1407,no name,gluconate dehydrogenase,AE007869.2,1401791-1402561
AAK87200.2,Atu1408,gutB,sorbitol dehydrogenase,AE007869.2,1402611-1403654
AAK87201.1,Atu1409,allA,ureidoglycolate hydrolase,AE007869.2,1403654-1404142
AAK87202.1,Atu1410,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,complement(1404293-1405015)
AAK87203.2,Atu1411,no name,"ABC transporter, nucleotide binding/ATPase protein",AE007869.2,complement(1405012-1406784)
AAK87204.1,Atu1412,no name,"ABC transporter, membrane spanning protein",AE007869.2,complement(1406786-1407820)
AAK87205.2,Atu1413,no name,"ABC transporter, substrate binding protein (branched chain amino acid)",AE007869.2,complement(1407959-1409107)
AAK87206.2,Atu1414,acd,acyl-CoA dehydrogenase,AE007869.2,complement(1409176-1410738)
AAK87207.1,Atu1415,no name,3-hydroxyacyl-CoA dehydrogenase type II,AE007869.2,complement(1410773-1411546)
AAK87208.2,Atu1416,no name,long-chain-fatty-acid-CoA-ligase,AE007869.2,complement(1411543-1413378)
AAK87210.1,Atu1417,fad,enoyl-CoA hydratase,AE007869.2,1413523-1414320
AAK87211.2,Atu1418,metF,methylenetetrahydrofolate reductase,AE007869.2,complement(1414370-1415290)
AAK87212.1,Atu1419,no name,"transcriptional regulator, GntR family",AE007869.2,1415598-1416332
AAK87213.2,Atu1420,gcvT,"glycine cleavage system T protein, aminomethyltransferase",AE007869.2,1416488-1417903
AAK87214.1,Atu1421,no name,conserved hypothetical protein,AE007869.2,complement(1418102-1418977)
AAK87215.2,Atu1422,no name,"transcriptional regulator, MarR family",AE007869.2,complement(1418967-1419422)
AAK87216.1,Atu1423,no name,conserved hypothetical protein,AE007869.2,1419730-1420608
AAK87217.2,Atu1424,kdsA,2-dehydro-3-deoxyphosphooctonate aldolase,AE007869.2,1420608-1421453
AAK87218.1,Atu1426,eno,enolase,AE007869.2,1421590-1422864
AAL42433.1,Atu1427,no name,hypothetical protein,AE007869.2,1422877-1423056
AAK87219.2,Atu1428,no name,conserved hypothetical protein,AE007869.2,1423178-1423495
AAK87220.2,Atu1429,pdhA,pyruvate dehydrogenase alpha subunit,AE007869.2,1423772-1424692
AAK87221.1,Atu1430,pdhB,pyruvate dehydrogenase beta subunit,AE007869.2,1424710-1426131
AAK87222.1,Atu1431,no name,hypothetical protein,AE007869.2,1426138-1426428
AAK87223.2,Atu1432,aceF,dihydrolipoamide acetyltransferase,AE007869.2,1426572-1427789
